date_of_sale,address,postal_code,cities,price,description
2021-01-03,"16 BURLEIGH COURT, BURLINGTON ROAD, DUBLIN 4",Dublin 4,Dublin,450000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"1 CASTLEGAL CROSS, CLIFFONEY, CO. SLIGO",Unknown,Sligo,148000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"1 PLAZA  VIEW, FAIR GREEN, MALLOW",Unknown,Cork,158590.3,New Dwelling house /Apartment
2021-01-04,"1 THE BIRCHES, TUAM, CO GALWAY",Unknown,Galway,153000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"11 RIVERVISTA, OUGHTERARD, GALWAY",Unknown,Galway,91000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"12 Oileain Na Cranoige.Cranogue Isl, Balbutcher Lane, BALLYMUN",Dublin 11,Dublin,192951.0,New Dwelling house /Apartment
2021-01-04,"13 ARDSALLAGH WOODS, ROSCOMMON, ROSCOMMON",Unknown,Roscommon,237000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"14 Oak Park Square, Oak Park, Craddockstown",Unknown,Kildare,290748.88,New Dwelling house /Apartment
2021-01-04,"16 COIS TEAMPAILL, FOYNES ROAD, NEWCASTLE WEST",Unknown,Limerick,120000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"17 Belltree Lane, Beltree, Clonggriffin",Unknown,Dublin,343612.0,New Dwelling house /Apartment
2021-01-04,"19 EFFERNOCK MANOR, DUBLIN RD, TRIM",Unknown,Meath,361000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"19A CLIONA PARK, MOYROSS, CO LIMERICK",Unknown,Limerick,175000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"2 BRODAGH VIEW, CRUSHEEN, CLARE",Unknown,Clare,176000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"2 MARINO ST, BANTRY, CORK",Unknown,Cork,80000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"2 St Judes, Heynestown, Old Dublin Road",Unknown,Louth,339207.05,New Dwelling house /Apartment
2021-01-04,"20 SAUNDERS COURT, MULLINGAR, WESTMEATH",Unknown,Westmeath,155000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"20b Oakfield Manor, Tullaghan",Unknown,Leitrim,65000.0,New Dwelling house /Apartment
2021-01-04,"25 BLESSINGTON ORCHARD, BLESSINGTON, WICKLOW",Unknown,Wicklow,276000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"25 CUIL AN ATH, BARNA, GALWAY",Unknown,Galway,385000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"25 MARINEGATE, BELMONT, COBH",Unknown,Cork,222000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"27 Beresford Avenue, Donabate, County Dublin",Unknown,Dublin,345132.75,New Dwelling house /Apartment
2021-01-04,"3 COLLEGE RD, ENNIS, CO CLARE",Unknown,Clare,245000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"3 EMMET TERRACE, NAVAN, MEATH",Unknown,Meath,165000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"3 KILLOSSERY, ROWLESTOWN, DUBLIN",Unknown,Dublin,378000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"3 OLD COURT, BANDON, CORK",Unknown,Cork,90000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"3 RACEHILL LODGE, RACE HILL, ASHBOURNE",Unknown,Meath,535000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"3 WOODVIEW HOUSE, GLENALBYN RD, STILLORGAN",Unknown,Dublin,252000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"38 Sika Woods, Kilgarron, Enniskerry",Unknown,Wicklow,716121.0,New Dwelling house /Apartment
2021-01-04,"38 SLIABH RUA WOODHILL, MOATE, WESTMEATH",Unknown,Westmeath,172000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"4 Ard na Si, Mohill",Unknown,Leitrim,165000.0,New Dwelling house /Apartment
2021-01-04,"40 GALVONE RD D, KENNEDY PARK, LIMERICK",Unknown,Limerick,118000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"40 ISLAND RD, LIMERICK",Unknown,Limerick,100000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"42 CARTRUN BREAC, LISBRACK, LONGFORD",Unknown,Longford,99500.0,Second-Hand Dwelling house /Apartment
2021-01-04,"43 ASHLAWN PARK, BALLYBRACK, COUNTY DUBLIN",Unknown,Dublin,330000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"6 Whitethorn Lawn, Whitethorn Village, Naas",Unknown,Kildare,299559.46,New Dwelling house /Apartment
2021-01-04,"66 Willow Drive, The Willows, Old Dublin Road",Unknown,Meath,288986.78,New Dwelling house /Apartment
2021-01-04,"7 ALLAGHAUN VIEW, TOURNAFULLA",Unknown,Limerick,56100.0,Second-Hand Dwelling house /Apartment
2021-01-04,"7 NORTONS AVE, PHIBSBOROUGH, DUBLIN 7",Dublin 7,Dublin,386000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"8 DANESFORT COURT, LOUGHREA, GALWAY",Unknown,Galway,210000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"8 THE COPSE, MILLERSBROOK, NENAGH",Unknown,Tipperary,233000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"82 River Crescent, Virginia",Unknown,Cavan,201761.0,New Dwelling house /Apartment
2021-01-04,"85 BELMAYNE PARK SOUTH, BALGRIFFIN, PARK SOUTH DUBLIN 13",Dublin 13,Dublin,335000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"9 LAUREL AVE, LONGFORD, LONGFORD",Unknown,Longford,210000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"93 BALLYFERMOT CRESCENT, DUBLIN 10, DUBLIN",Dublin 10,Dublin,45000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"APT. 1 BLOCK A, RUSHBROOK HOTEL, COBH",Unknown,Cork,52500.0,Second-Hand Dwelling house /Apartment
2021-01-04,"APT. 3 BLOCK A, RUSHBROOKE HOTEL, COBH",Unknown,Cork,52500.0,Second-Hand Dwelling house /Apartment
2021-01-04,"ARDAROSTIG HOUSE, BISHOPSTOWN, CORK",Unknown,Cork,325000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"BALLAGH, MENLOUGH, BALLINASLOE",Unknown,Galway,86000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"CLOGHANBEG, CLOGHAN, CO DONEGAL",Unknown,Donegal,130000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"COURTDALE, BUTLERSLAND, NEW ROSS",Unknown,Wexford,240000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"DERRYNAGALLION, ARIGNA, CARRICK ON SHANNON",Unknown,Roscommon,27500.0,Second-Hand Dwelling house /Apartment
2021-01-04,"DROMDERAOWN, GLENGARRIFF, CO CORK",Unknown,Cork,439600.0,Second-Hand Dwelling house /Apartment
2021-01-04,"DRUMARD, CLOONAGH, COUNTY SLIGO",Unknown,Sligo,80000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"GREATDOWN, THE DOWNS, MULLINGAR",Unknown,Westmeath,280000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"KILKITTANE, WHITEGATE, CLARE",Unknown,Clare,165000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"LISIEUX HOUSE, TURBOTSTOWN, COOLE",Unknown,Westmeath,260000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"LLORET, LOUGHATALIA, MIDLETON",Unknown,Cork,420000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"MAULBRACK, SKIBBEREEN, CO CORK",Unknown,Cork,115000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"NEWTOWNBALREGAN, DUNDALK, LOUTH",Unknown,Louth,205000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"PREMISES, MAIN STREET, BONMAHON",Unknown,Waterford,105000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"RAHEEN, KILMEADEN, WATERFORD",Unknown,Waterford,87500.0,Second-Hand Dwelling house /Apartment
2021-01-04,"RATHBRACK, KELLS, MEATH",Unknown,Meath,465000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"SUNHILL, TERMONFECKIN, DROGHEDA",Unknown,Louth,120000.0,Second-Hand Dwelling house /Apartment
2021-01-04,"THE SALTINGS, SEAFIELD RD, BLACKROCK",Unknown,Louth,255000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"1 DUNKERRON WOOD, DUNKERRON, KENMARE",Unknown,Kerry,235000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"1 LOUGHSILLAN LODGE, SHERCOCK, CO CAVAN",Unknown,Cavan,137000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"1 RIVERVIEW, TURLOUGH VILLAGE, CASTLEBAR",Unknown,Mayo,125000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"10 LA MARE, ST AMULLEN, MEATH",Unknown,Meath,227000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"10 Maglin Green, Ballincollig, Co. Cork",Unknown,Cork,346255.51,New Dwelling house /Apartment
2021-01-05,"10 MOUNTTOWN VILLAS, MOUNTTOWN LOWER, GLENAGEARY",Unknown,Dublin,435000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"11 Carraig Beag, Ballynerrin",Unknown,Wicklow,361233.48,New Dwelling house /Apartment
2021-01-05,"12 MARINE WALK, MARINE ROAD, DN LAOGHAIRE",Unknown,Dublin,389427.0,New Dwelling house /Apartment
2021-01-05,"12 MCDONAGH AVE, JANESBORO, LIMERICK",Unknown,Limerick,120000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"12 SHENICK RD, SKERRIES, DUBLIN",Unknown,Dublin,415000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"129 Clonlara, Kerry Pike",Unknown,Cork,414096.0,New Dwelling house /Apartment
2021-01-05,"13 CASEMENT AVE, TRALEE, KERRY",Unknown,Kerry,93000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"13 NEWTOWN PARK, TRAMORE",Unknown,Waterford,610000.0,New Dwelling house /Apartment
2021-01-05,"14 Walker Green, Parkside, Balgriffin",Dublin 13,Dublin,343612.0,New Dwelling house /Apartment
2021-01-05,"15 CAISIL UR, RAHOON, KNOCKNACARRA",Unknown,Galway,320000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"15 DUN NA MARA, DOONBEG, CLARE",Unknown,Clare,120000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"16 CLEEVAUN, NAAS, KILDARE",Unknown,Kildare,350000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"16 COIS BAILE DROMIN RD, LISTOWEL, KERRY",Unknown,Kerry,179000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"16/17 HENRY STREET, OTHERWISE O' BRIEN STREET, TIPPERARY TOWN",Unknown,Tipperary,58000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"17 Walker Green, Parkside, Balgriffin",Dublin 13,Dublin,345814.0,New Dwelling house /Apartment
2021-01-05,"18 CELLA ROW, CHURCH HILL MEADOWS, RAHEEN",Unknown,Limerick,270000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"18 DRYNAM CRESCENT, DRYNAM HALL, KETTLE'S LANE",Unknown,Dublin,427500.0,Second-Hand Dwelling house /Apartment
2021-01-05,"185 CLONSILLA ROAD, BLANCHARDSTOWN, DUBLIN 15",Unknown,Dublin,350000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"2 CHAPEL ST, TULLAMORE, OFFALY",Unknown,Offaly,126000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"26 HILL ROAD, CLOGHAN, COUNTY OFFALY",Unknown,Offaly,130000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"26 NEW RD, BIRR, OFFALY",Unknown,Offaly,100000.0,Second-Hand Dwelling house /Apartment
